customer_id,age,gender,region,annual_income,membership_tier,acquisition_channel,num_purchases_last_year,days_since_last_purchase,avg_purchase_amount,satisfaction_score,signup_days_ago
101262,39.0,Male,West,92262.9,Gold,Email,4,9.0,106.64,9.5,836
102339,51.0,Female,East,26927.87,Bronze,Referral,8,32.0,13.91,6.1,161
100085,24.0,,North,33428.03,Bronze,Social_Media,6,20.0,265.32,6.4,776
103822,53.0,Male,West,,Bronze,Social_Media,7,15.0,62.13,4.9,362
102654,28.0,Male,West,31068.41,Silver,Paid_Ads,9,9.0,,5.4,50
105546,58.0,Male,East,62822.51,Silver,Email,10,85.0,60.28,7.7,1148
102747,51.0,,East,102090.39,Bronze,Organic,11,102.0,112.77,6.6,1562
102859,34.0,,Central,44621.82,Gold,Organic,8,41.0,47.74,6.6,1253
100997,47.0,Female,East,47120.2,Gold,Paid_Ads,11,106.0,344.79,7.8,1220
100229,28.0,Other,South,40203.79,Bronze,Paid_Ads,9,139.0,54.77,6.1,1155
103265,32.0,Female,Central,156134.68,Silver,Referral,11,35.0,31.22,9.3,2317
104829,53.0,Female,South,99007.01,Bronze,Referral,13,54.0,144.82,4.9,1875
103943,28.0,Female,East,29854.24,Bronze,Social_Media,13,8.0,106.69,8.3,70
105460,49.0,Female,East,35822.07,Gold,Social_Media,11,30.0,80.47,4.5,2433
103833,36.0,Male,North,44251.74,Silver,Referral,5,29.0,75.94,6.8,2030
101653,44.0,Male,East,53698.1,Bronze,Social_Media,8,13.0,10.02,7.4,204
100080,34.0,Male,South,,Gold,Organic,9,90.0,79.1,6.0,797
100965,38.0,Female,South,104401.99,Silver,Referral,6,,256.15,5.9,747
100927,36.0,Female,Central,29528.05,Silver,Paid_Ads,8,39.0,106.81,8.1,1137
100795,18.0,Female,East,55788.67,Gold,Organic,11,19.0,,7.2,845
103380,35.0,Male,North,60660.39,Silver,Paid_Ads,11,,82.39,6.5,2176
103165,30.0,Male,North,114397.37,Platinum,Referral,10,,246.53,4.9,743
104658,39.0,Male,North,129008.4,Bronze,Email,9,10.0,153.23,6.7,910
103312,46.0,Female,North,,Silver,Referral,13,,197.71,8.6,1992
103935,43.0,Male,West,,Bronze,Social_Media,5,32.0,44.59,4.0,715
101075,27.0,Female,North,92184.94,Bronze,Referral,8,44.0,111.36,7.0,363
104841,40.0,Female,West,44075.18,Bronze,Social_Media,8,45.0,41.86,7.0,1154
104184,66.0,Female,West,62911.44,Bronze,Referral,9,80.0,29.0,6.3,83
102025,22.0,Other,East,35645.03,Silver,Paid_Ads,7,79.0,,7.2,2250
105678,43.0,Male,South,57881.31,Bronze,Paid_Ads,10,12.0,50.92,9.2,703
104635,42.0,Female,South,54580.16,Bronze,Email,9,2.0,68.6,10.0,679
101746,29.0,Male,South,,Gold,Paid_Ads,7,18.0,124.49,7.9,614
103144,41.0,Male,North,63960.23,Bronze,Organic,11,,21.04,7.7,841
103264,57.0,Female,South,28706.67,Gold,Organic,9,,149.63,7.2,2110
103122,,Other,South,22313.51,Silver,Referral,12,3.0,194.79,6.2,1419
101452,44.0,Female,East,32938.66,Bronze,Paid_Ads,10,,4091.0840972603714,6.3,454
100440,43.0,,South,102616.97,Silver,Social_Media,9,53.0,75.82,9.0,583
103317,36.0,Female,North,42658.68,Platinum,Social_Media,6,,105.67,,2180
104544,26.0,Other,South,68336.37,Bronze,Paid_Ads,8,17.0,21.94,,1614
102982,57.0,Male,South,59122.17,Bronze,Organic,4,,101.27,6.8,2070
102081,43.0,Female,East,38956.81,Gold,Social_Media,4,,440.73,4.0,2457
104021,40.0,Male,Central,48537.57,Bronze,Paid_Ads,12,12.0,63.17,7.3,1774
101455,56.0,Female,South,46769.58,Silver,Paid_Ads,8,31.0,145.69,8.8,1588
100255,35.0,,West,59799.23,Silver,Organic,11,6.0,1999.2031926150505,5.1,2164
100466,32.0,Other,South,31067.4,Bronze,Email,7,38.0,37.12,6.7,715
102118,39.0,,South,32853.64,Silver,Email,17,49.0,321.81,6.6,858
100507,67.0,Male,North,42122.76,Bronze,Organic,6,23.0,134.39,10.0,191
104272,25.0,Male,South,44587.25,Silver,Social_Media,10,,206.4,6.9,731
104289,36.0,Other,South,47138.54,Silver,Organic,9,6.0,55.27,7.6,1151
104214,36.0,Female,South,63784.43,Silver,Social_Media,9,24.0,72.27,5.4,1750
100234,52.0,Female,Central,122239.14,Bronze,Social_Media,11,11.0,408.67,8.4,125
100554,62.0,Male,Central,51188.29,Bronze,Referral,5,10.0,30.06,6.4,1935
105315,38.0,Female,East,29673.38,Gold,Organic,7,43.0,199.78,7.3,2459
100545,35.0,Female,North,,Gold,Organic,10,42.0,154.72,6.7,649
103701,37.0,Female,East,42664.94,Silver,Paid_Ads,8,,92.02,6.6,359
103541,40.0,Female,South,38393.93,Gold,Organic,10,27.0,231.3,6.4,826
102789,31.0,Female,South,29336.34,Bronze,Organic,9,78.0,57.33,5.8,1681
102865,25.0,Male,West,136125.56,Bronze,Paid_Ads,3,112.0,33.15,6.0,2479
102084,40.0,Male,South,31629.79,Silver,Email,3,13.0,128.51,5.6,981
105543,45.0,Female,South,,Bronze,Organic,7,35.0,121.55,7.4,2088
100309,45.0,Female,East,,Bronze,Paid_Ads,8,3.0,102.09,6.6,1521
100711,38.0,Male,East,92571.46,Bronze,Organic,6,45.0,36.6,5.0,1577
104104,60.0,Female,Central,,Silver,Organic,7,99.0,134.09,8.2,2155
101581,52.0,Male,West,88299.64,Bronze,Social_Media,6,2.0,,6.3,2279
101311,24.0,Male,North,36855.06,Silver,Organic,6,54.0,146.33,4.6,1778
100626,32.0,Male,West,51456.66,Gold,Email,11,17.0,60.73,5.6,886
100024,36.0,Male,East,71404.31,Gold,Referral,10,19.0,287.41,8.4,2326
102532,45.0,Female,East,75292.12,Platinum,Paid_Ads,10,129.0,,6.2,2276
101871,48.0,Female,West,,Silver,Social_Media,9,28.0,234.87,6.9,1815
105111,36.0,Male,North,,Silver,Organic,7,20.0,106.91,3.6,2234
103489,39.0,Male,Central,,Gold,Referral,6,61.0,109.29,7.2,1308
101171,24.0,Male,East,50825.28,Bronze,Social_Media,1,49.0,106.97,5.9,574
104746,41.0,Female,East,55066.17,Gold,Paid_Ads,11,34.0,214.56,7.9,1671
102119,41.0,,East,,Bronze,Social_Media,10,13.0,116.89,5.8,1438
103019,43.0,,South,40845.95,Silver,Paid_Ads,5,129.0,118.11,8.2,1539
101195,61.0,Male,North,39556.59,Silver,Organic,10,44.0,49.44,6.0,2050
102246,31.0,Male,Central,,Gold,Referral,9,31.0,110.68,5.7,385
102874,18.0,Female,East,69383.27,Bronze,Organic,6,91.0,45.06,6.9,790
105640,45.0,Male,North,57865.49,Gold,Social_Media,6,163.0,227.1,7.6,1117
102550,44.0,Male,South,123070.53,Gold,Social_Media,6,,169.39,8.7,1384
103155,,Female,South,66962.26,Platinum,Referral,10,,139.96,4.5,245
100094,37.0,Male,East,42895.39,Bronze,Paid_Ads,8,93.0,20.26,8.3,1762
102078,39.0,Female,East,102343.08,Silver,Organic,4,17.0,120.61,6.2,1274
100470,26.0,Male,West,104377.76,Silver,Organic,10,39.0,33.35,5.6,1906
100788,36.0,Female,West,40510.47,Bronze,Social_Media,12,101.0,205.92,,2057
101700,40.0,Female,West,72698.47,Platinum,Social_Media,11,39.0,313.68,7.1,299
101838,35.0,Female,South,95357.52,Silver,Referral,6,21.0,115.21,6.7,125
103064,40.0,Female,North,86934.54,Silver,Email,9,24.0,111.97,6.8,2056
101707,33.0,Male,North,119405.99,Bronze,Referral,2,8.0,205.38,6.7,2015
103968,25.0,Male,South,48274.18,Gold,Organic,8,57.0,162.26,6.7,1273
103863,24.0,Male,West,56189.59,Bronze,Organic,4,36.0,77.74,7.1,567
103665,36.0,Female,East,,Silver,Organic,4,,128.85,10.0,507
105892,58.0,Female,South,44146.51,Bronze,Email,10,14.0,18.96,8.2,1104
103205,43.0,Male,South,,Bronze,Social_Media,6,58.0,14.1,7.4,737
100605,30.0,Male,South,74901.01,Gold,Referral,9,152.0,171.2,8.7,1198
104943,35.0,Male,South,48781.98,Bronze,Organic,9,81.0,,6.9,110
101551,19.0,,Central,61332.23,Gold,Email,11,169.0,69.48,6.5,979
104709,28.0,,East,69323.16,Gold,Organic,11,,92.75,7.8,54
104835,19.0,,South,18140.33,Bronze,Referral,4,44.0,108.85,6.9,1843
103186,,Female,South,36300.26,Bronze,Social_Media,9,72.0,94.61,7.2,658
104387,35.0,Female,West,25895.83,Bronze,Organic,14,80.0,53.4,6.9,860
101587,18.0,Male,West,74762.92,Bronze,Paid_Ads,8,41.0,71.75,9.0,801
103120,23.0,Male,Central,37432.86,Bronze,Paid_Ads,5,183.0,64.55,5.6,1447
103400,32.0,Female,East,,Silver,Social_Media,6,40.0,297.6,9.5,1229
100402,,Female,South,35213.09,Bronze,Paid_Ads,3,18.0,,7.2,139
100032,33.0,Female,West,112279.42,Bronze,Referral,12,52.0,110.41,8.9,2312
101484,42.0,Female,South,13941.54,Gold,Paid_Ads,6,,85.88,8.6,196
102681,53.0,Female,West,58034.43,Bronze,Social_Media,11,164.0,125.78,7.0,1831
100600,18.0,Female,South,,Silver,Email,9,,64.51,5.4,2234
103150,41.0,Male,North,,Bronze,Organic,6,1.0,62.81,6.3,1913
105545,37.0,Male,East,69606.43,Bronze,Organic,10,20.0,217.08,6.5,650
101861,46.0,Male,South,33003.33,Bronze,Paid_Ads,11,160.0,88.41,7.9,1149
100566,47.0,Male,West,,Bronze,Social_Media,12,,131.76,5.5,1805
102214,59.0,Female,South,34467.55,Silver,Email,6,32.0,113.97,6.8,1368
101967,41.0,Female,East,49905.92,Bronze,Referral,5,92.0,29.73,7.8,2061
100866,48.0,Male,West,67273.95,Bronze,Social_Media,7,4.0,156.45,5.9,614
104608,54.0,Male,South,101650.9,Silver,Paid_Ads,4,8.0,,5.4,2224
102451,32.0,Male,Central,87513.26,Silver,Paid_Ads,5,5.0,30.74,6.9,692
105693,35.0,Male,East,89883.9,Platinum,Social_Media,5,,345.86,5.7,572
100813,41.0,Other,West,55408.55,Silver,Paid_Ads,8,9.0,241.52,6.7,2142
101478,21.0,Male,North,58770.1,Silver,Social_Media,11,14.0,39.02,8.3,1994
104735,33.0,Female,East,121607.12,Bronze,Paid_Ads,8,,90.14,7.4,1965
102272,25.0,Other,West,66618.16,Bronze,Social_Media,7,7.0,37.83,6.3,844
101039,48.0,Male,South,88802.2,Silver,Organic,14,,103.33,7.1,1530
104527,35.0,Female,West,42343.47,Gold,Organic,5,59.0,104.28,6.4,1781
100081,43.0,Male,Central,37587.22,Bronze,Social_Media,8,63.0,,9.4,1417
101205,30.0,Male,South,42788.75,Silver,Organic,10,13.0,63.06,6.5,57
103286,50.0,Female,South,58213.49,Silver,Organic,15,187.0,124.01,7.3,1247
101546,35.0,Male,North,110926.79,Bronze,Referral,6,36.0,120.33,6.3,933
100178,40.0,Female,East,,Gold,Organic,10,,106.85,8.3,875
102586,50.0,Other,North,,Silver,Organic,12,68.0,64.74,6.3,2052
105993,41.0,Male,North,,Silver,Referral,3,,139.86,9.1,970
104864,44.0,Female,Central,92521.48,Gold,Social_Media,7,29.0,194.43,5.6,1519
101439,23.0,Other,North,38741.29,Bronze,Paid_Ads,17,3.0,96.1,4.9,2182
100297,42.0,Male,West,30850.98,Bronze,Organic,7,6.0,86.67,8.2,1854
103616,48.0,Female,North,130022.48,Gold,Referral,9,34.0,188.55,8.1,2462
103648,33.0,Female,North,83243.85,Silver,Paid_Ads,10,36.0,99.47,5.7,1177
100158,50.0,Other,West,46189.07,Bronze,Paid_Ads,4,32.0,246.56,6.2,1831
101028,38.0,Female,South,59197.86,Silver,Referral,10,,87.53,6.5,105
100411,20.0,Female,West,119509.35,Platinum,Referral,9,,118.93,5.4,736
103959,30.0,Female,East,38099.38,Silver,Email,7,,190.96,6.2,682
105938,47.0,Female,Central,,Gold,Social_Media,8,,158.97,7.9,836
104957,39.0,,East,55291.96,Platinum,Email,5,,189.87,6.6,1784
104757,40.0,Female,West,73620.42,Silver,Organic,7,,66.15,9.0,787
105448,38.0,Other,East,39081.77,Bronze,Social_Media,6,,30.67,,1457
102182,41.0,Female,Central,26209.69,Silver,Paid_Ads,5,,167.73,8.2,1177
105809,31.0,Female,South,73082.78,Gold,Social_Media,8,17.0,114.48,10.0,1428
100811,36.0,Male,South,63405.19,Silver,Referral,5,,47.4,6.7,2269
104916,39.0,Female,East,31442.1,Bronze,Organic,11,13.0,95.9,9.3,2385
104954,18.0,Female,North,90201.63,Bronze,Organic,7,33.0,94.28,7.9,1029
103734,34.0,Female,South,55200.35,Silver,Email,4,,64.01,7.9,1280
105164,40.0,Female,West,91523.16,Platinum,Paid_Ads,12,34.0,100.58,7.8,1786
102978,36.0,Female,North,,Silver,Social_Media,8,45.0,,5.8,784
103796,36.0,Female,Central,49565.32,Silver,Paid_Ads,6,34.0,150.99,7.6,692
102169,29.0,Female,South,29350.71,Silver,Paid_Ads,11,32.0,27.47,5.7,1501
103078,18.0,Male,Central,42843.27,Gold,Social_Media,5,1.0,93.01,7.7,1391
101695,23.0,Female,North,,Silver,Organic,8,72.0,115.11,6.7,1221
101025,18.0,Male,Central,55206.42,Silver,Organic,5,7.0,171.07,5.6,1195
103947,54.0,Male,North,,Silver,Organic,8,1.0,240.76,8.9,1453
102125,38.0,Male,North,99939.82,Bronze,Paid_Ads,11,19.0,58.6,6.3,453
105295,39.0,Male,North,97584.54,Silver,Referral,8,68.0,137.4,10.0,1496
102705,41.0,Female,Central,41317.28,Platinum,Social_Media,8,91.0,159.35,2.8,617
101034,44.0,,West,45137.15,Bronze,Organic,9,,71.16,8.0,890
105872,67.0,Male,North,45733.19,Bronze,Referral,8,,177.99,8.7,465
105365,42.0,Female,South,27878.38,Bronze,Organic,9,37.0,110.89,9.6,2044
104160,43.0,Female,West,81028.56,Platinum,Organic,8,48.0,154.23,6.4,1889
101701,24.0,Female,West,43048.79,Silver,Social_Media,14,110.0,38.39,7.3,1933
102914,18.0,Male,East,68275.85,Bronze,Organic,9,30.0,129.57,5.4,2025
104879,,Male,Central,,Gold,Organic,6,12.0,103.88,6.0,576
103321,19.0,,North,77560.55,Gold,Social_Media,6,261.0,167.45,6.6,724
105027,37.0,Male,North,102818.28,Gold,Organic,6,79.0,59.27,8.4,75
102583,37.0,Male,South,34716.24,Gold,Referral,10,159.0,152.64,8.0,2024
105284,49.0,Male,North,34876.85,Silver,Email,4,154.0,151.09,8.5,1532
104251,35.0,Female,East,39103.8,Bronze,Paid_Ads,12,28.0,46.19,7.6,1467
101187,34.0,Other,West,41002.5,Bronze,Referral,5,,76.65,8.6,1484
103738,57.0,Male,West,43351.57,Silver,Paid_Ads,9,,114.73,6.7,1424
100784,49.0,Male,East,,Silver,Referral,15,,64.18,7.1,2381
104403,30.0,Male,South,,Platinum,Social_Media,7,65.0,144.82,9.7,862
100051,41.0,Female,Central,38963.21,Bronze,Social_Media,9,27.0,67.44,7.7,1339
100713,26.0,Female,Central,58859.87,Silver,Paid_Ads,8,112.0,82.53,7.1,1515
102307,61.0,Male,North,28678.96,Silver,Social_Media,5,1.0,33.3,7.8,1506
103868,58.0,Other,South,96248.29,Silver,Social_Media,8,,117.85,7.7,2126
102447,33.0,Female,North,101528.77,Bronze,Organic,12,,95.38,6.4,1645
102241,53.0,Other,South,,Silver,Referral,9,64.0,142.67,5.7,498
104604,45.0,Female,North,,Silver,Social_Media,14,8.0,74.23,7.1,938
104791,18.0,Female,East,,Bronze,Referral,8,,116.96,6.4,2372
103104,51.0,Male,North,58192.51,Bronze,Social_Media,6,73.0,81.8,7.8,2395
105567,54.0,Female,East,58976.01,Gold,Paid_Ads,6,,187.74,5.8,1966
100677,67.0,Male,North,50929.17,Gold,Social_Media,5,125.0,76.76,5.8,113
105557,41.0,Female,North,90805.36,Bronze,Organic,8,21.0,92.49,9.2,2368
103640,22.0,Male,South,68718.22,Bronze,Paid_Ads,12,,70.53,8.0,1801
102695,55.0,Male,North,78052.5,Silver,Organic,10,41.0,72.37,7.9,1383
102996,29.0,Male,South,81092.24,Platinum,Organic,6,88.0,,,585
101563,28.0,Male,Central,37664.75,Gold,Organic,3,1.0,101.26,6.8,2468
103650,39.0,Female,North,69311.71,Silver,Social_Media,9,59.0,185.48,5.6,114
102466,29.0,Female,North,,Bronze,Paid_Ads,7,70.0,97.19,4.7,686
100347,31.0,Female,Central,,Bronze,Social_Media,9,,22.8,6.0,1427
101497,42.0,Female,Central,47965.99,Gold,Organic,9,32.0,102.86,7.7,1852
102345,,Female,North,23872.55,Bronze,Referral,6,188.0,38.16,6.6,1168
103906,67.0,Male,North,28232.33,Silver,Organic,8,109.0,108.29,7.5,1312
103659,27.0,Female,South,46547.14,Bronze,Paid_Ads,8,,71.43,6.3,521
100623,41.0,Female,Central,102591.23,Bronze,Organic,8,16.0,97.34,7.8,1432
104097,45.0,Male,North,,Bronze,Organic,8,48.0,136.17,6.3,1118
101401,52.0,Female,South,58857.01,Platinum,Paid_Ads,10,26.0,227.3,8.5,1022
103298,37.0,Male,Central,86858.94,Bronze,Paid_Ads,7,52.0,115.21,7.0,1692
103986,31.0,Female,East,81751.29,Silver,Paid_Ads,13,25.0,57.56,5.5,1795
105182,37.0,Male,Central,36582.74,Bronze,Paid_Ads,10,4.0,57.58,9.9,1017
104618,26.0,Female,North,35756.74,Bronze,Paid_Ads,12,,95.4,9.3,61
100325,60.0,Male,East,,Bronze,Organic,3,186.0,68.0,5.8,2367
102998,66.0,Male,North,26346.87,Bronze,Email,9,18.0,109.34,5.2,1010
100038,28.0,Female,West,69197.03,Gold,Paid_Ads,9,3.0,166.71,7.7,2211
105375,39.0,Male,Central,46070.19,Gold,Organic,10,,331.14,8.2,1496
104185,38.0,Male,North,31806.64,Gold,Organic,8,,217.52,8.7,1894
100531,34.0,Male,South,47538.33,Silver,Referral,10,9.0,105.62,9.7,280
102643,26.0,Male,South,41659.66,Bronze,Organic,10,78.0,30.19,,206
103681,30.0,Male,East,50244.64,Bronze,Organic,8,,27.1,6.8,680
102349,56.0,Male,North,37061.65,Gold,Social_Media,11,29.0,233.11,7.7,463
102785,43.0,Male,West,46834.18,Bronze,Email,6,42.0,3758.045144161915,10.0,755
105493,,Male,South,58549.23,Bronze,Paid_Ads,5,2.0,271.75,7.2,2272
102226,,Female,West,44829.42,Bronze,Social_Media,12,63.0,179.49,7.1,1280
101074,19.0,Female,North,55378.91,Bronze,Referral,9,,108.19,4.6,915
101198,27.0,Female,North,49778.37,Bronze,Email,9,,54.83,6.1,347
105139,31.0,Male,North,,Bronze,Paid_Ads,10,,34.92,,750
100264,31.0,Female,East,,Silver,Referral,7,,84.04,7.8,2162
101730,38.0,Other,East,33258.78,Bronze,Paid_Ads,7,34.0,96.82,7.1,1786
105329,44.0,Male,East,56217.48,Bronze,Paid_Ads,9,,78.06,5.9,1664
100908,23.0,Female,West,55141.21,Bronze,Email,8,36.0,118.87,8.3,1404
101336,,Male,West,98836.46,Bronze,Email,7,15.0,66.93,8.3,1050
101394,44.0,Male,Central,64336.56,Silver,Organic,8,,115.79,7.5,504
100961,57.0,Male,Central,18772.97,Silver,Paid_Ads,14,6.0,112.81,7.5,352
100240,32.0,,East,42667.8,Silver,Paid_Ads,6,75.0,109.42,8.3,784
100200,36.0,Female,Central,57613.64,Gold,Organic,7,262.0,,8.5,155
102418,30.0,Male,South,50001.56,Platinum,Organic,3,21.0,130.85,6.6,1395
105470,49.0,Female,South,35825.45,Gold,Social_Media,8,53.0,119.95,9.0,2276
104311,42.0,Male,Central,50381.05,Bronze,Organic,11,,82.49,5.9,2036
104715,31.0,Male,Central,70538.12,Platinum,Social_Media,6,37.0,216.92,8.0,947
105791,52.0,Female,East,41629.54,Silver,Organic,8,,33.07,6.8,320
100326,47.0,Female,South,171790.5,Bronze,Organic,7,59.0,150.55,9.3,985
102678,44.0,Male,East,46773.59,Silver,Referral,7,39.0,107.91,8.4,556
105824,36.0,Other,South,99151.8,Bronze,Organic,11,86.0,73.26,7.2,347
104419,42.0,Female,North,18919.42,Silver,Paid_Ads,11,33.0,124.17,8.1,599
100102,54.0,Female,Central,39386.16,Bronze,Organic,7,34.0,238.1,6.8,2309
101738,36.0,Other,East,44515.02,Gold,Social_Media,6,104.0,137.16,6.8,1343
105262,49.0,Male,North,61034.03,Bronze,Referral,7,22.0,21.77,7.4,2412
100878,35.0,Female,South,43525.83,Bronze,Email,10,45.0,81.18,8.7,2113
105893,62.0,Female,West,,Bronze,Social_Media,15,3.0,156.41,7.0,2251
100409,18.0,,North,32584.5,Gold,Email,6,51.0,85.87,7.2,535
103746,34.0,,South,,Bronze,Organic,6,72.0,105.5,9.5,2261
101245,51.0,Male,West,32705.03,Bronze,Referral,8,27.0,,9.1,1956
102288,65.0,Male,North,76347.77,Bronze,Organic,4,5.0,33.38,8.7,1176
101355,,Female,Central,59297.24,Gold,Referral,5,2.0,194.78,5.2,2458
102858,40.0,Female,North,82797.09,Gold,Organic,12,29.0,134.19,6.3,2091
100894,38.0,,South,82753.52,Gold,Referral,6,10.0,95.53,7.2,259
101182,48.0,Male,West,63079.28,Silver,Email,6,3.0,273.38,7.3,1040
104656,37.0,Other,South,101585.36,Bronze,Referral,5,,81.08,,898
105323,30.0,Female,North,,Bronze,Social_Media,6,6.0,56.32,7.9,271
103699,25.0,Female,North,,Silver,Organic,4,,58.71,8.0,1989
104467,38.0,Female,North,74158.47,Bronze,Social_Media,9,20.0,27.05,6.8,1373
104326,33.0,Other,South,,Gold,Paid_Ads,7,113.0,86.6,6.1,1175
100731,43.0,Male,East,81892.75,Silver,Email,7,,44.52,7.1,1676
101033,32.0,Male,West,56123.59,Bronze,Paid_Ads,11,5.0,113.72,7.5,1529
103067,41.0,Male,South,81399.8,Bronze,Referral,6,15.0,173.76,8.7,1400
105659,38.0,Male,North,58750.69,Bronze,Email,10,,76.28,6.7,1430
104897,45.0,,North,41391.01,Gold,Organic,3,12.0,,8.0,1530
100978,33.0,Other,North,68835.8,Bronze,Paid_Ads,9,,100.16,8.4,480
104970,42.0,Male,South,129856.97,Silver,Paid_Ads,9,87.0,,8.2,2473
102623,56.0,Male,East,49788.1,Platinum,Referral,11,23.0,106.89,7.3,1454
101226,44.0,Female,East,57031.15,Bronze,Social_Media,5,4.0,58.72,7.8,1229
101210,42.0,Female,Central,55156.19,Platinum,Email,6,,204.49,9.5,2376
105481,46.0,Male,West,81634.45,Bronze,Referral,7,,43.24,7.2,1022
100587,24.0,Male,West,79225.77,Silver,Email,8,9.0,73.88,7.4,2075
105455,29.0,Female,South,93587.58,Gold,Organic,15,4.0,158.56,4.7,621
102821,20.0,Female,North,75851.46,Platinum,Social_Media,10,,129.38,5.4,672
105756,41.0,Female,South,52043.97,Silver,Organic,13,37.0,69.9,8.3,1000
102719,50.0,Female,Central,101887.36,Bronze,Paid_Ads,8,,162.59,,1704
105625,32.0,Male,Central,87543.85,Silver,Social_Media,8,61.0,166.65,7.9,2171
101761,24.0,Male,East,57528.51,Gold,Social_Media,8,33.0,247.95,8.4,1511
103050,55.0,Other,Central,,Bronze,Paid_Ads,12,1.0,56.62,7.8,391
101870,41.0,Male,West,52745.03,Bronze,Paid_Ads,12,,65.67,9.5,1786
101545,54.0,Male,West,28941.24,Bronze,Organic,12,,134.84,8.2,917
100473,35.0,Female,North,58318.52,Gold,Referral,7,6.0,186.85,6.1,2199
105240,36.0,Male,South,57822.67,Bronze,Paid_Ads,13,81.0,195.02,7.0,2411
101159,18.0,Male,West,57627.59,Platinum,Organic,8,52.0,118.53,8.8,1327
100133,46.0,Male,South,80931.14,Bronze,Organic,9,8.0,51.62,7.7,1765
101537,,Female,South,220249.64,Silver,Paid_Ads,10,2.0,,7.3,618
102489,55.0,Female,West,40089.42,Silver,Paid_Ads,4,,85.31,6.1,1349
101633,40.0,,South,1628675.6443526067,Silver,Referral,12,,67.94,10.0,2109
101322,31.0,Male,North,32610.79,Platinum,Email,10,46.0,134.86,,1630
105428,39.0,Female,North,,Silver,Referral,6,16.0,130.51,6.8,1650
101189,,Male,North,36031.9,Gold,Social_Media,10,1.0,240.63,10.0,823
104379,32.0,Male,East,81639.04,Silver,Social_Media,7,5.0,,7.9,1777
103972,41.0,Female,West,88237.28,Silver,Paid_Ads,4,,201.3,6.8,2312
104817,61.0,,Central,35900.22,Bronze,Referral,4,,117.18,5.7,1140
100682,46.0,Male,Central,27357.22,Silver,Paid_Ads,9,,69.49,5.2,748
101778,41.0,Female,Central,33344.0,Bronze,Paid_Ads,12,61.0,120.13,8.3,403
104406,53.0,Female,West,45771.48,Silver,Email,6,82.0,158.03,6.3,953
104601,47.0,Female,East,,Silver,Email,7,,53.7,8.0,2235
104563,42.0,Male,North,39248.81,Bronze,Paid_Ads,6,77.0,156.1,5.6,2116
102903,50.0,Female,Central,28511.68,Bronze,Social_Media,9,,85.73,8.9,1593
