V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Time,Amount,Class
1.290726,-0.356121,-0.787417,-1.243969,-0.902119,0.102619,0.008496,-0.214668,0.713261,1.252124,31050.92,15.17,0
-1.194364,0.66665,-0.390068,0.65218,1.692189,-1.146504,-0.388651,0.636111,-0.948517,0.393902,154792.73,321.31,0
-0.541471,-0.262869,1.279069,-0.112906,0.594586,0.907032,-0.722278,-0.041732,-0.182412,1.200524,69607.79,41.36,0
-1.558724,1.538732,1.269341,-0.494972,-0.143102,-1.058994,0.168832,-1.11737,-1.423198,0.159145,69767.76,30.11,0
-0.778016,-0.008081,-0.670814,-0.473813,0.567819,-0.231286,-1.199748,1.016227,-1.458539,0.620719,47885.09,26.24,0
-0.587643,-2.162261,-0.329442,0.111319,1.442802,1.725766,0.12115,1.325425,0.733293,-0.589517,48828.12,82.83,0
-0.345743,0.062572,-0.662122,0.321506,-0.90605,0.589629,0.517255,0.288336,-0.563628,0.126468,35917.62,84.02,0
0.338228,-0.754941,-1.142543,0.111392,-1.412382,-0.744363,1.301223,-0.772219,-1.485751,-0.727075,119993.36,137.15,0
-0.440538,0.939936,0.282296,-0.138039,-0.869867,0.512491,-0.367398,0.431436,-2.495917,-0.013906,107147.44,185.08,0
-1.416349,-1.887525,-1.05556,-0.132954,-1.002621,0.488781,1.106704,-0.845857,-0.215251,0.365006,10151.13,139.76,0
-1.025776,-0.873788,-0.750318,-0.564758,-0.598252,0.14619,1.18132,-1.208627,-1.446099,-1.749875,109925.7,4.34,0
-0.270693,0.057407,1.679341,0.011816,0.421383,-0.521033,-0.944772,-1.384705,-0.06671,1.751654,156960.09,313.42,0
0.008965,-0.06888,-0.5686,-0.389821,0.97881,-1.962395,0.019553,-1.766811,1.114703,1.989649,76254.03,86.09,0
-0.203039,1.244795,0.324894,-0.339705,-0.771822,1.301174,-0.714634,-0.651185,0.933144,0.462953,122799.6,104.98,0
0.720515,-0.103814,0.7962,-0.738663,-0.37929,-0.071551,0.763797,0.603799,0.063566,0.703602,73300.66,49.62,0
0.515057,1.283713,-0.923425,0.389195,0.104115,-1.916187,-0.181938,0.863909,1.463142,0.51574,129943.56,100.38,0
-0.587155,1.418893,-0.948152,-0.499667,-0.507276,-0.582712,-0.156218,1.128928,-1.031421,1.213942,86367.85,119.87,0
-1.107518,-0.512934,0.723662,-0.142167,-1.475977,0.386681,1.402759,0.793956,-0.420643,-0.480517,91185.8,174.94,0
-0.431899,0.773723,1.367716,0.173832,-1.289743,-0.839973,-0.305916,0.167321,0.649899,-1.181872,2104.28,123.51,0
0.569839,-2.083376,0.197547,-2.291077,-0.701127,-0.903254,-2.269466,1.349016,0.002641,0.737038,145816.4,89.61,0
-0.184408,0.099463,1.186702,-0.244883,-1.449434,-0.019835,-0.914611,1.25807,1.855883,0.936379,81943.27,56.66,0
0.482187,-0.290257,1.290636,-1.823172,1.48851,0.368612,-0.144163,0.24946,2.135702,0.331232,6189.18,38.13,0
-1.86719,0.210383,-0.92212,-0.677296,0.781495,2.196729,-0.580344,-1.274018,-2.199562,-0.668168,150975.77,113.97,0
-0.167068,-2.096843,-1.037158,-2.086803,0.151914,0.79261,-0.003545,-2.155881,-0.526825,0.635563,169486.08,87.05,0
0.145102,-1.042442,0.525208,-0.988769,-0.795574,0.240222,1.065584,1.340543,1.834132,-0.651752,24109.37,49.84,0
-0.410893,-0.871631,2.050137,-0.14864,1.048089,-1.501874,-0.596884,-0.60664,0.334763,0.391036,63656.44,88.18,0
2.952882,-0.079117,-0.576098,-1.031453,1.312554,-0.329712,0.223159,0.754459,-0.460562,2.633702,25342.01,108.63,0
-0.387498,-0.003742,1.239394,-0.913896,0.486927,-1.285284,-0.193284,-0.636916,0.317637,0.160785,122375.62,10.85,0
-0.619779,0.325218,-0.515819,-0.614473,-0.523218,-0.742857,-0.643832,1.677772,-0.434263,1.23652,114291.42,167.63,0
0.779092,-1.828054,-0.910355,-0.724882,0.01711,-0.453399,0.12017,0.079316,-0.500812,1.565754,154215.83,178.66,0
0.078958,0.862784,-2.832007,-1.101738,0.798665,0.156756,0.267673,-0.591673,-0.12506,2.128895,63395.85,221.33,0
-0.236909,-0.276547,-0.642442,-1.173912,-1.329004,-0.33142,0.403295,-0.462569,0.263004,-0.335513,157651.95,71.44,0
0.016335,-0.015712,0.627808,-0.288002,0.168311,-0.278851,1.087198,-0.172177,-0.022744,-1.185763,161702.02,75.65,0
0.16382,-2.133467,-1.363784,-0.898154,0.878939,1.038406,0.68311,0.32467,-2.142647,0.29982,117982.63,173.08,0
-1.244617,-0.583885,-0.648056,1.367902,-0.867755,-0.400251,-0.03309,0.596726,0.655809,-1.137657,81470.1,61.03,0
0.004166,0.212514,1.468653,-0.822708,-2.049308,0.744631,1.562992,-1.518557,-0.033571,-0.074852,87613.32,115.99,0
0.81636,-0.138918,-0.529191,-0.321635,1.812265,1.890399,0.533121,1.440942,-0.862585,-0.672881,153680.23,58.71,0
-0.350716,-0.39949,-0.19336,1.819981,-0.392425,-0.604691,-1.249926,-0.218508,-1.200198,-0.239221,40541.19,65.04,0
-0.155306,0.125783,-1.072734,1.37977,-0.53036,0.582636,0.783014,-0.120791,1.979217,1.961324,77319.38,118.44,0
-1.566398,1.193614,-0.500722,-0.833779,0.125945,-1.790429,0.290177,-2.976751,-0.626552,-0.939936,32171.19,68.75,0
-1.113518,0.004208,-1.424995,-0.154138,0.13163,-1.084455,1.37862,0.971867,-0.763365,-1.05155,102229.16,234.39,0
0.492339,-0.814536,0.404959,0.275703,1.563676,0.250128,1.048349,2.004298,-0.619036,-1.176615,11925.65,45.03,0
0.52949,-0.775496,-2.28594,1.149402,0.842276,-0.680816,-0.753885,0.130021,-1.339469,0.354842,94415.99,320.57,0
-1.92691,1.044638,-1.463028,0.856922,-0.951138,-0.371537,2.482743,0.589326,-0.425991,1.928643,57311.3,23.59,0
-0.220477,-0.938961,-0.736338,0.700062,-0.429919,-1.792129,-0.220021,-0.335984,-1.313496,0.344903,124908.3,35.17,0
-1.678943,0.95829,-0.893788,0.087274,0.041137,1.688824,0.180267,0.065826,0.241922,-1.517461,97752.03,94.27,0
-1.397833,2.478512,-0.670914,0.846926,-0.394973,-0.990593,-3.373305,1.424196,-1.700239,-0.045062,19075.59,309.25,0
0.939796,-0.407169,0.364704,-0.359864,-0.249686,-0.401863,1.343188,0.003021,0.468866,0.211716,131014.29,47.28,0
-0.326813,0.809907,-0.404159,1.276194,-0.157647,1.577552,-0.958038,0.319907,-0.289028,2.355152,62087.12,61.55,0
-2.039965,-1.139009,0.157859,0.514381,-0.211709,0.950311,-1.119961,-0.689668,0.939584,0.039051,107129.48,35.39,0
-0.000569,0.295453,0.817722,-1.98799,1.0646,-1.393846,-0.778834,-1.149476,1.02153,-0.875803,98862.24,23.47,0
-2.131699,-0.310439,-0.175675,0.638138,1.952321,1.05492,0.469755,-1.120569,1.488058,0.879617,119689.22,34.44,0
-1.065305,0.086853,0.43725,1.210426,0.06287,-0.466627,1.281826,1.310405,-1.383152,-1.479322,62133.48,30.17,0
0.413808,-2.684506,0.691403,-1.324788,-0.383262,-0.989599,0.53166,0.45096,-0.468237,1.447515,73708.1,60.76,0
0.131083,-0.693634,0.687297,-0.378574,1.5362,0.374882,-1.025861,-2.097483,-0.616256,-0.094784,69404.63,124.45,0
1.758943,1.06142,0.535608,0.855334,0.147397,-0.2306,-0.08302,0.373074,-0.393282,-1.508635,104829.23,20.13,0
0.705856,-1.374808,-1.109612,-0.61532,-0.837778,-0.351563,-0.405586,0.543324,0.304109,0.221493,159768.67,102.45,0
-0.167445,0.567923,-0.010202,-0.079926,-1.808429,-0.360564,-0.211486,0.377087,-1.885356,0.368298,151725.68,344.81,0
-1.627288,0.421927,-0.118775,0.318651,1.093919,-1.092574,-0.512804,0.343135,-0.427408,-0.423919,74693.8,82.08,0
0.169608,0.373887,-0.660136,-0.067259,1.605632,1.295486,-0.931755,0.149558,-0.188553,1.640395,134488.94,36.67,0
1.554577,1.642497,-0.17256,2.34441,0.351926,2.445033,-1.089807,-0.887645,-0.101752,-0.399642,113918.51,58.05,0
-0.397495,0.651211,-0.400466,0.922361,-0.706071,0.688906,-1.379195,0.284207,2.589286,-1.037962,135189.28,21.4,0
-0.685109,0.997199,0.701982,0.340272,-1.649768,0.095189,-3.032483,-0.201267,0.305738,0.089101,73692.87,4.31,0
-0.366794,-0.714982,1.38846,2.551166,0.428003,-1.411759,-0.975994,-0.644983,-1.049983,-0.073971,51671.17,41.13,0
-0.058229,1.531273,-2.211909,2.188934,-1.243603,0.448434,-0.904985,0.749226,0.747402,-2.14917,88471.81,10.58,0
0.939471,-1.058907,0.881366,0.197176,0.580401,1.016241,-0.986483,0.654214,-0.047292,-0.240445,102625.21,186.45,0
-0.19416,0.986378,1.440729,-0.834156,0.207482,-0.873685,0.507753,-0.372215,0.753959,-0.369161,57590.79,202.99,0
1.533886,-0.217778,-0.363847,0.678436,0.618557,-0.123034,-0.38058,-0.716076,1.008334,-0.530685,93221.63,70.24,0
-0.474703,-1.031138,1.180303,-0.28648,0.308598,0.578961,-0.392684,0.933496,-0.725732,0.384154,63019.84,151.44,0
1.849636,-0.194714,-2.536057,-2.014529,-0.436562,0.546042,-0.08083,-1.466049,0.375729,-0.741197,108550.74,55.76,0
0.231175,1.757977,1.663086,-0.752835,0.024025,0.318493,-0.444396,0.241687,-0.286268,0.451898,12595.58,137.04,0
-0.138395,-1.21544,-0.787004,-1.966274,-0.236819,-0.102196,0.410978,-1.457184,0.540597,-0.795739,111029.21,190.76,0
0.078943,-1.515743,-0.224964,-0.592083,0.809222,0.084554,-0.600124,-1.930508,0.468317,-0.609931,152110.27,75.15,0
1.441914,-1.382603,0.386136,0.073911,-0.59405,0.19881,0.623704,-0.96129,-1.112071,0.740264,130192.52,89.24,0
0.679573,0.020002,-0.721295,1.013494,-1.504696,-0.288856,1.072601,-1.600674,-0.069872,-0.299887,79941.6,28.55,0
-0.641872,0.053525,-0.133663,0.442267,1.538666,1.394616,-0.716335,-0.531765,-0.380874,1.636675,108096.77,8.18,0
2.290064,-0.958952,1.643539,-0.604434,-0.452676,-0.878508,0.07284,-1.498808,-1.135189,0.260749,817.29,3.88,0
1.26392,0.665153,-0.213679,-2.205405,-0.015633,1.094795,-0.199155,-1.486863,1.19886,2.174081,27443.16,32.56,0
2.248246,1.007101,-1.450314,-1.583684,0.206206,-1.440134,0.737511,0.352633,0.728018,0.127098,151306.71,149.9,0
-0.849499,0.584013,0.259119,1.944956,2.016935,-1.779423,0.81579,-0.94262,-0.082116,-1.181277,18356.94,142.57,0
-0.971374,-0.246455,0.469284,1.667845,-1.347583,0.785694,1.046939,-0.013589,0.739316,-1.310668,42034.4,138.36,0
-1.104845,-0.646547,1.346654,-2.32941,-1.766307,0.847112,-0.50636,0.681287,-0.108779,-0.575424,81318.34,32.27,0
1.057819,-0.940287,-0.64708,-0.505206,0.865269,-0.028039,1.263649,-1.021912,0.270897,1.198854,168119.96,3.78,0
0.385909,0.365454,0.376291,0.008583,-0.920154,-0.52955,-0.651105,-0.8943,-1.07229,0.422998,168012.9,5.88,0
1.008416,-0.857202,-1.463404,-0.848241,0.531822,-0.264725,-0.801096,0.362763,0.006262,0.819469,108262.87,77.34,0
-0.931396,0.642457,-1.447007,0.499049,1.340891,0.93796,-0.58835,-2.192471,0.673292,0.584285,26398.14,41.28,0
0.759738,0.477685,0.064,0.863429,-1.570645,0.214413,0.823024,0.63123,-0.099643,0.280824,5622.64,73.61,0
0.389018,0.116429,-0.958528,-0.542543,0.535158,0.00745,0.301369,-1.046238,-1.007053,0.162713,52869.23,118.51,0
1.309164,-0.954145,-0.637827,-1.714116,-0.317457,-0.9078,1.162949,-1.636845,-1.061738,-1.786762,162771.85,61.84,0
1.479678,-0.525441,-1.536406,1.515595,-1.150686,1.071035,2.940145,-0.008239,-0.949115,0.847716,99029.91,100.38,0
-0.719172,-1.413723,1.413355,-0.058332,0.826441,-1.146336,0.161237,0.405908,0.754019,-0.328727,138277.57,31.75,0
-0.865113,0.042101,0.219751,-1.822526,-0.241787,0.966818,0.342764,0.874627,-1.700526,-0.466798,11925.78,122.02,0
-2.187395,-1.653999,2.075978,-0.778084,-2.27859,-1.044118,-0.49274,0.791051,-1.666941,-0.110217,163158.68,35.67,0
0.139753,0.826277,0.066548,0.858398,0.685542,0.616562,0.364952,-0.259516,-0.522983,-1.386123,87620.57,12.01,0
-0.039949,-0.64472,-0.376732,-0.865499,0.376553,-0.47406,0.961805,-0.207047,0.5836,0.491752,88778.46,114.62,0
-0.174043,0.305025,-1.372821,-1.480933,0.411804,-1.315346,-0.277524,0.710304,-0.953567,-0.867364,138573.87,21.16,0
-0.084485,-0.260725,-0.726247,0.010875,0.079303,-0.33108,0.422869,0.052615,-1.596993,-0.926136,140967.26,69.16,0
-1.394837,-0.182236,-0.709773,0.15329,0.840471,0.562433,-1.386726,0.608716,-0.368947,1.106418,1275.7,8.71,0
-1.534291,-1.070468,0.357942,-0.427752,0.154691,0.649364,0.132723,0.128348,0.254311,-0.167385,11937.98,93.74,0
0.20107,1.325333,-0.573584,-1.981368,-0.815648,0.479107,-0.116589,-1.622442,-0.566245,-0.51217,70478.35,197.97,0
1.725158,-1.200867,-1.10709,-0.577517,0.097673,-1.31605,0.014168,-1.703575,0.659903,-0.930231,43826.68,97.45,0
-0.821505,-0.232291,-0.635948,0.412343,0.045609,0.255564,-0.090982,1.886709,0.565244,-0.343214,171022.85,49.91,0
0.266174,0.94423,0.654077,0.370426,-0.563842,0.476975,-1.0186,-0.260235,0.819769,-0.553163,164853.14,139.67,0
-0.941805,1.187104,-2.049154,0.749951,0.557879,-0.06684,-1.21612,0.813426,0.753252,-0.581267,47144.56,153.98,0
-1.484281,-0.35412,0.426944,-0.073955,0.968547,0.967219,0.033318,2.08871,-0.912701,0.249223,116132.65,35.23,0
-1.064331,-0.780938,-1.459612,0.471395,0.76399,0.878548,-0.752141,-0.726737,0.252659,-0.448938,32848.38,27.7,0
0.071912,-1.068269,-0.439739,-1.458236,1.777889,0.364341,-0.628269,0.107926,0.783253,2.107373,105448.22,26.81,0
-0.931044,0.423567,0.595196,0.390388,0.156837,0.126681,-1.359906,-0.008942,0.770597,-1.097859,3926.93,29.92,0
-0.100112,0.971815,2.261248,1.136208,-1.463413,-0.121164,-0.440382,-0.379352,-1.254417,-0.428852,57641.71,100.19,0
1.203119,-0.090273,-0.054346,-0.782831,-1.460877,0.476119,0.398064,0.295069,-2.595095,1.714522,126304.32,159.04,0
0.622478,0.107292,-0.755327,-1.286808,0.820893,2.721456,0.847298,0.580123,0.262155,-0.111531,65426.58,183.89,0
0.239439,-0.904503,0.014169,1.638929,-1.889261,-0.121264,0.84196,-1.129461,1.409099,-0.760635,19688.91,21.68,0
1.100663,0.118205,1.074673,0.338498,-0.019983,0.425095,1.74022,0.41354,-0.529893,-0.028675,4851.79,32.23,0
-0.605667,-0.485303,-1.227479,-0.779136,0.025973,0.251851,1.974385,0.652817,1.717138,0.880734,99476.24,10.77,0
1.077124,-0.551783,-0.913479,-1.009616,-0.839846,0.125478,-0.971677,0.620834,0.297311,-0.659466,108545.87,106.42,0
1.15328,-0.162345,0.537824,-1.078045,0.264344,0.216432,-0.327606,-0.393049,1.404477,-1.765781,137513.13,47.29,0
-1.445055,-0.74804,-1.947014,-0.34733,-0.318532,-0.928574,-1.736771,0.928157,0.126228,0.375972,13617.07,41.89,0
0.138687,0.123548,0.338913,0.738409,0.359264,-0.179914,0.318835,0.631216,-1.051268,-1.308696,152516.5,123.15,0
1.076609,0.716908,0.076274,-0.815737,-0.139493,0.482341,-0.175669,-0.177701,0.449052,-1.214038,141383.76,76.34,0
-0.139668,-0.904084,0.860368,0.349417,0.316399,0.950396,-1.137302,-0.763465,-0.264809,-1.036493,89493.78,41.77,0
2.893235,-0.800462,1.445223,-0.828155,0.749241,-1.039229,1.198987,1.917255,-1.669369,-1.101438,82233.61,40.75,0
-1.732028,0.537841,-0.969176,-0.23287,1.354775,-0.338424,0.78977,0.52602,0.817305,0.782723,156994.5,129.75,0
1.042424,1.167483,-1.279071,0.261648,-0.59436,-0.304386,0.131697,-0.158502,0.160607,-0.018496,27986.55,66.47,0
-1.779244,-1.012099,-1.665381,-1.372336,1.132133,-0.200152,0.21858,1.158114,1.259102,-0.504596,56648.18,6.7,0
-0.152605,0.105038,-1.738042,-0.331955,0.466017,-0.527918,1.036849,-0.971008,-0.863476,-1.182906,68671.55,83.24,0
0.20253,-0.334799,-0.702364,0.986499,0.075465,0.621697,0.276856,-0.813277,3.273418,1.017353,60996.93,88.31,0
0.85923,-1.491109,-0.670333,0.986078,-1.393541,1.25237,0.503035,0.110381,-0.130138,-1.119529,121409.61,219.51,0
-0.053531,1.086574,0.917501,-0.185812,-1.008844,1.4262,0.684609,0.408802,0.42673,0.213341,7482.93,62.44,0
-1.930488,-1.53034,0.327877,0.766916,-1.12604,-0.572394,-1.310829,-0.612789,0.280029,-0.755565,36235.55,317.74,0
-0.564292,0.757375,1.515819,-0.627435,0.518304,0.567312,1.063009,0.287444,0.488377,0.946836,90546.1,72.84,0
-1.434572,0.840584,-0.306254,0.661652,-0.455884,0.68952,0.808946,1.646973,-0.783015,-0.87852,28635.19,144.43,0
1.263109,-1.151106,-0.297155,-0.306276,-0.368726,0.448201,0.568077,1.220149,-0.507507,-0.135593,150547.09,89.5,0
1.538461,0.438077,-1.092459,1.056485,0.875664,-0.613655,-0.021993,-1.59798,0.493538,0.098735,113143.65,61.53,0
-1.169325,1.279458,1.793831,-0.890863,-1.68441,0.706214,-0.856465,1.988567,0.732047,-0.831213,109742.06,70.94,0
-0.774178,-1.505082,1.16188,-1.389332,1.268473,0.965488,-0.809769,-0.49652,-2.386592,-0.910114,75737.32,43.78,0
-0.857888,1.188442,-0.753425,0.5253,-0.306125,0.005046,1.274543,0.334916,0.175399,-0.669099,116327.41,120.97,0
-0.513583,-0.8503,-0.51436,1.421062,0.911432,-0.241105,-1.747318,1.482701,-0.449481,0.683652,45748.76,118.4,0
0.140373,-0.131204,-0.982337,-1.188807,0.335538,0.715169,0.332282,0.453872,-0.095485,-0.577905,78740.63,165.61,0
-1.853863,0.057618,0.632984,1.755664,-0.917519,1.447899,1.145756,0.020492,-0.531133,0.316451,125459.87,43.81,0
0.452311,-0.359823,0.622736,1.551702,-2.831076,-0.376111,-0.594708,0.505181,-0.948087,-0.090186,98584.4,62.25,0
-1.174846,0.479091,-0.778804,0.835093,0.716703,0.518101,-0.470136,0.426118,-1.037712,-0.563929,4928.22,128.1,0
-0.291437,-0.466355,-0.803782,0.07186,-0.72319,-0.408929,0.047267,-0.317436,-0.898835,0.659871,81722.49,29.2,0
-0.896167,0.910211,-0.223316,0.169922,-1.782282,1.628953,1.567593,-1.110142,1.288325,0.236516,104300.99,158.67,0
-0.527035,-1.642464,0.461928,-0.427928,1.039632,-0.391593,0.705622,0.918724,0.552708,1.299214,82006.39,29.02,0
-0.729384,0.050044,-0.347865,0.554219,-0.094526,-0.551656,-0.256938,-0.087264,-0.468091,0.935628,131167.49,124.1,0
-2.102838,-0.060039,0.178194,-0.93922,0.10691,-0.717653,-0.241546,0.570246,0.5205,-1.508783,72754.17,42.98,0
-0.609692,-0.044485,0.279663,-0.938822,1.511418,-0.250355,-1.992384,0.972978,-0.247699,-1.525668,100914.51,104.96,0
-0.818167,0.752897,0.904975,-0.237192,-0.837282,0.095568,0.965338,2.018023,0.194796,0.305736,132925.29,44.99,0
2.307852,-0.855141,-0.496438,-1.594871,-0.05892,0.4948,1.450646,-1.580056,-0.523739,-2.223465,91495.03,145.82,0
0.565805,1.415484,2.278652,0.555879,0.497386,-1.572847,1.484791,0.715798,0.434466,-0.122893,50309.9,194.17,0
1.734372,-0.077508,0.633654,-0.944011,0.206259,1.550174,0.541233,0.205821,-1.896553,-0.324322,168928.34,169.32,0
-1.014974,-0.701681,-0.873396,0.763292,1.091255,-1.416326,1.277051,-0.140172,0.135169,-1.575668,75737.12,33.59,0
0.611459,0.176781,0.736771,0.177328,-1.094453,0.331968,0.519333,0.432887,-0.158983,1.80187,61273.18,121.94,0
-1.20915,1.029822,-0.452469,-0.862773,-0.218464,-2.357189,0.846284,1.455836,-0.83731,-1.240519,117611.01,30.33,0
-1.812252,1.026373,-1.631311,0.747002,-0.218625,0.351358,0.044659,0.030453,0.320274,-0.429,93100.02,13.74,0
1.588248,0.994805,1.122644,-0.875859,-0.422287,1.41437,0.537333,0.545671,-0.16901,-0.193764,24579.76,230.96,0
1.774269,-0.562315,-0.091102,0.192402,0.435662,0.253883,-1.130157,-0.197967,0.715134,-0.722279,38833.54,26.18,0
1.290324,0.907873,0.818176,-2.175844,0.990872,0.9924,-0.104568,0.519993,-0.498471,0.814534,163588.91,17.33,0
-0.7889,-0.92249,0.02312,-1.984287,-0.401892,0.136864,-1.916975,0.288843,-0.84048,-1.313655,20904.05,208.44,0
1.556977,-1.452114,-0.063261,-1.030831,0.945898,1.319492,-0.28011,0.240327,1.268249,0.203816,19276.62,145.61,0
-0.82849,0.879268,-0.822265,-2.340407,0.402299,0.766243,0.819667,0.149007,-0.220743,-1.003328,16591.12,116.45,0
1.590718,-0.994183,0.755374,-0.881019,-0.383458,0.084924,0.068851,-0.165704,-1.467682,-0.51075,80409.93,121.61,0
0.623378,0.571383,1.712135,-0.965979,-0.51043,-1.921894,-0.5399,1.086962,0.366794,1.563766,101327.33,3.65,0
-2.113812,1.314397,1.005682,-2.181922,-1.198134,0.085885,0.643627,0.986246,-0.021668,0.131007,27162.49,127.81,0
1.381114,1.312617,0.923003,-0.18674,-0.666763,-0.03117,1.340647,0.037608,1.432908,-1.3424,4667.9,93.07,0
1.164667,-0.388197,0.137168,0.700238,-0.650312,0.164049,1.444146,-1.164961,1.933895,1.062746,140594.42,21.71,0
